text,label
帮我取消6元钱的增值业务,addedservice_close
增值业务都给我取消,addedservice_close
取消彩铃增值业务,addedservice_close
我能把我手机里的所有增值业务全部取消么,addedservice_close
我想退订所有增值业务,addedservice_close
增值业务不要，请给我取消。,addedservice_close
增值业务怎么退订,addedservice_close
取消咪咕视屏咪咕游戏增值业务,addedservice_close
你好!取消增值业务费!,addedservice_close
你好，请问我可以退订增值服务吗？,addedservice_close
取消了增值业务怎么还有？,addedservice_close
要怎么退订增值业务,addedservice_close
你好，可以帮我取消移动增值业务费吗,addedservice_close
麻烦帮我关闭所有增值业务,addedservice_close
增值业务我要取消,addedservice_close
我想退订我的某些增值业务,addedservice_close
取消一下那个增值业务,addedservice_close
我增值业务里多了2个和视频，和畅听怎么退订,addedservice_close
没提醒就替我办理了增值业务，推顶可以退钱吗,addedservice_close
套餐内的增值业务如何取消,addedservice_close
把所有的增值业务都停掉,addedservice_close
增值业务和视频15元包月怎么退,addedservice_close
增值业务要如何取消？,addedservice_close
自有增值业务费用我什么时候订是否能退订。,addedservice_close
把我的增值业务都去取消了,addedservice_close
请帮我把增值业务来电提醒功能取消,addedservice_close
我没开通过5元增值业务，现在怎么扣了这项目的钱，现想取消,addedservice_close
增值业务停办,addedservice_close
我的增值业务费怎么高，能帮我取消吗？谢谢！,addedservice_close
我想退定增值业务,addedservice_close
怎么解除增值业务,addedservice_close
把我这些增值业务都取消,addedservice_close
请把增值业务取消，谢谢,addedservice_close
套餐内增值业务如何取消,addedservice_close
增值业务怎么退定,addedservice_close
咪咕游戏 增值业务能取消吗,addedservice_close
你好，我要取消增值业务,addedservice_close
自有类增值业务可以取消吗？,addedservice_close
增值业务能退吗,addedservice_close
我要取消所有增值业务,addedservice_close
增值业务的话费什么时侯退还,addedservice_close
取消6元的通信增值服务，,addedservice_close
您好！请问手机增值业务那个功能能关掉吗？,addedservice_close
增值业务费现在又出现了就没取消,addedservice_close
可以把这个增值业务关闭吗？,addedservice_close
我的增值业务能取消吗,addedservice_close
上个月的增值业务费没有退回到这个月？,addedservice_close
我想取消掉我手机号码的增值业务,addedservice_close
我要退订所有增值服务,addedservice_close
请给我退掉增值业务和代收费,addedservice_close
给我把增值业务关了,addedservice_close
可以关那里增值业务吗,addedservice_close
13931176703的手机号增值业务取消,addedservice_close
如何关闭增值业务费。,addedservice_close
把增值业务都给我取消了,addedservice_close
只退这一项增值业务,addedservice_close
前两天打电话咨询的15194467651的增值业务无法取消,addedservice_close
帮我取消套餐以外的增值业务,addedservice_close
什么增值业务啊，我要取消,addedservice_close
我上月取消了增值业务，这个月怎么照样还有在,addedservice_close
我没有定制增值业务怎么给定制了，我要取消此业务,addedservice_close
你好、请把我的增值业务取消,addedservice_close
我想退订部分增值业务，请问要如何办理,addedservice_close
可以帮我退订增值业务？,addedservice_close
怎么退订增值业务？,addedservice_close
退订增值业务退订失败,addedservice_close
只显示如何取消增值服务，没有代收费和移动梦网怎样取消,addedservice_close
自有增值业务能否取消？,addedservice_close
怎样取消气象增值服务？,addedservice_close
这个增值业务是否可以取消,addedservice_close
增值业务！能在这取消吗？,addedservice_close
套餐内包含的增值业务怎么取消,addedservice_close
在这里可以退订增值业务吗,addedservice_close
如何取消增值业务费？,addedservice_close
退订本执增值业务费,addedservice_close
如何在手机上关闭增值业务,addedservice_close
怎么退那个增值业务,addedservice_close
自有增值业务费能否取消？,addedservice_close
增值业务太多了怎么退,addedservice_close
如何取消增值业务费,addedservice_close
我退增值业务,addedservice_close
我己取消增值业务费用还扣费用,addedservice_close
怎么我退订了增值业务还是扣了费,addedservice_close
取消我的增值业务,addedservice_close
自有增值业务费怎么取消啊,addedservice_close
如何取消增值业务费?,addedservice_close
退定增值业务,addedservice_close
我手机的1元增值业务费怎么退,addedservice_close
请帮我把增值业务取消谢谢,addedservice_close
给我取消增值业务费,addedservice_close
帮我把我的增值业务取消了,addedservice_close
请帮我取消三元增值业务费业务,addedservice_close
如何退定本机增值业务,addedservice_close
帮我把短信套餐和增值业务费退掉,addedservice_close
您好！请问：增值业务如何取消？,addedservice_close
怎么退汀增值业务费,addedservice_close
你好，增值业务怎么取消？咪咕音乐和咪咕游戏？,addedservice_close
如何退订增值业务费,addedservice_close
您好，我这些增值业务费怎么取消?,addedservice_close
我有一增值业务怎么退订,addedservice_close
想退订流量增值业务,addedservice_close
有一个增值服务怎么退，,addedservice_close
如何退订增值业务？,addedservice_close
请问我的增值业务可以取消吗？,addedservice_close
可以退增值业务吗,addedservice_close
取消增值业务费吗,addedservice_close
请问我能取消自我增值业务吗,addedservice_close
如何取消办理的增值业务,addedservice_close
想取消两元的包月的增值业务,addedservice_close
我想取消那个增值业务,addedservice_close
手机中毒增值业务是否取消,addedservice_close
我打算取消我的增值业务,addedservice_close
如何取消增值业务费用,addedservice_close
部分增值业务无法退订的原因,addedservice_close
查询了一下有个手机视频的增值业务是15元/月，这个业务能给我取消掉么？,addedservice_close
我想取消一项增值业务,addedservice_close
请你把我的增值业务退了,addedservice_close
把增值业务帮我取消,addedservice_close
退订增值业务。,addedservice_close
我这个增值业务和阅读怎么退订,addedservice_close
你好把我手机增值业务都取消了吧,addedservice_close
可以帮我把那些增值业务取消吗,addedservice_close
取消自有增值业务费,addedservice_close
自有增值业务费用如何取消,addedservice_close
请帮我把增值业务全取消,addedservice_close
取消增值业务，,addedservice_close
我可不可以取消  增值服务,addedservice_close
给我把增值业务费，5元钱取消了,addedservice_close
怎么取消自有增值业务？,addedservice_close
增值业务费是啥费用？如何取消？,addedservice_close
想把增值业务取消了,addedservice_close
请取消8元的增值服务,addedservice_close
帮我把增值业务取消,addedservice_close
我那个四个增值服务怎么还没取消啊,addedservice_close
增值业务可以取消吗,addedservice_close
你好，我办错了70元2G增值业务，能帮忙取消吗？,addedservice_close
如何退订手机增值业务,addedservice_close
38元套餐取消增值业务,addedservice_close
怎样退订增值业务,addedservice_close
通过短信营业厅退订增值业务的方式,addedservice_close
帮你取消所有的增值业务,addedservice_close
怎么取消自有增值业务费,addedservice_close
我那个增值业务怎么消除,addedservice_close
请把增值业务帮我取消。,addedservice_close
那个增值业务可以取消吗,addedservice_close
可以帮我把增值业务取消了吗？,addedservice_close
我的增值业务费怎么这么高！能帮我取消吗？,addedservice_close
那个增值业务怎么退订,addedservice_close
您好我想退订增值业务,addedservice_close
麻烦把我的增值业务关闭,addedservice_close
增值业务费能关掉吗,addedservice_close
我的增值业务费，可以取消吗？,addedservice_close
自有增值业务费可以退吗,addedservice_close
我想问一下我手表上面的增值业务和咪咕会员可不可以取消啊,addedservice_close
增值业务怎么退？,addedservice_close
你好，烦请帮我将本机的所有增值业务全部取消,addedservice_close
你好，请取消我的咪咕游戏和咪咕阅读增值业务费，我根本就没订过这些还来扣费,addedservice_close
增值业务可以帮我取消吗,addedservice_close
09:56:35 怎么取消增值业务费用呢？,addedservice_close
如何取消营销案内包月增值业务,addedservice_close
增值业务退仃行吗？,addedservice_close
请问能否取消增值业务和彩铃？,addedservice_close
我这个月的增值业务费是什么？可以取消吗？,addedservice_close
